Channel,Province,Gender,Race,Age_Group,Day_Name,Day_Type,Time_Period,Total_Views,Unique_Viewers,Total_Minutes,Total_Hours,Avg_Minutes_Per_View,Max_Session_Minutes,Min_Session_Minutes,High_Engagement_Views,Medium_Engagement_Views,Low_Engagement_Views
Cartoon Network,Eastern Cape,Male,Coloured,18-24,Saturday,Weekend,Late Night,1,1,11,0.18,11,11,11,0,0,1
Supersport Live Events,Western Cape,Male,Coloured,18-24,Monday,Weekday,Afternoon,1,1,52,0.87,52,52,52,0,1,0
ICC Cricket World Cup 2011,North West,Male,Black,25-34,Sunday,Weekend,Afternoon,1,1,606,10.1,606,606,606,1,0,0
Supersport Live Events,Gauteng,Male,White,18-24,Saturday,Weekend,Night,2,2,2418,40.3,1209,2260,158,2,0,0
Supersport Live Events,Limpopo,Male,Black,18-24,Sunday,Weekend,Late Night,1,1,622,10.37,622,622,622,1,0,0
ICC Cricket World Cup 2011,Limpopo,Male,Indian_asian,25-34,Friday,Weekday,Afternoon,6,5,6770,112.83,1128.33,3188,26,5,0,1
Channel O,Gauteng,Male,Coloured,35-44,Thursday,Weekday,Afternoon,1,1,153,2.55,153,153,153,1,0,0
Channel O,Limpopo,Male,Coloured,25-34,Thursday,Weekday,Afternoon,1,1,279,4.65,279,279,279,1,0,0
Africa Magic,Eastern Cape,Male,Unknown,35-44,Monday,Weekday,Late Night,1,1,8,0.13,8,8,8,0,0,1
Supersport Live Events,North West,Male,Black,18-24,Friday,Weekday,Afternoon,2,1,70,1.17,35,44,26,0,1,1
Trace TV,Western Cape,Female,Coloured,25-34,Friday,Weekday,Afternoon,1,1,225,3.75,225,225,225,1,0,0
M-Net,Gauteng,Male,Unknown,35-44,Friday,Weekday,Morning,1,1,45,0.75,45,45,45,0,1,0
Cartoon Network,Western Cape,Male,Coloured,35-44,Saturday,Weekend,Afternoon,1,1,265,4.42,265,265,265,1,0,0
Boomerang,North West,Male,Black,25-34,Wednesday,Weekday,Morning,1,1,169,2.82,169,169,169,1,0,0
ICC Cricket World Cup 2011,Gauteng,Male,Indian_asian,18-24,Tuesday,Weekday,Prime Time,3,3,11032,183.87,3677.33,5392,1358,3,0,0
M-Net,Gauteng,Male,Indian_asian,35-44,Monday,Weekday,Prime Time,1,1,9,0.15,9,9,9,0,0,1
Cartoon Network,Western Cape,Male,Coloured,35-44,Friday,Weekday,Prime Time,3,3,646,10.77,215.33,569,28,1,1,1
SuperSport Blitz,KwaZulu-Natal,Male,Black,25-34,Tuesday,Weekday,Prime Time,2,2,34,0.57,17,26,8,0,0,2
Boomerang,Western Cape,Male,Coloured,18-24,Tuesday,Weekday,Late Night,1,1,10,0.17,10,10,10,0,0,1
Cartoon Network,Eastern Cape,Female,Black,18-24,Wednesday,Weekday,Late Night,1,1,8,0.13,8,8,8,0,0,1
Africa Magic,Limpopo,Male,Black,Under 18,Monday,Weekday,Night,1,1,2,0.03,2,2,2,0,0,1
Trace TV,Gauteng,Male,Black,25-34,Friday,Weekday,Afternoon,3,3,999,16.65,333,711,51,2,1,0
ICC Cricket World Cup 2011,Limpopo,Male,Indian_asian,Under 18,Wednesday,Weekday,Prime Time,3,2,532,8.87,177.33,260,124,3,0,0
Africa Magic,Gauteng,Male,Black,25-34,Sunday,Weekend,Prime Time,8,4,1142,19.03,142.75,774,2,2,1,5
Africa Magic,Limpopo,Male,Indian_asian,18-24,Wednesday,Weekday,Late Night,1,1,33,0.55,33,33,33,0,1,0
Channel O,Gauteng,Male,Black,25-34,Sunday,Weekend,Afternoon,5,4,6792,113.2,1358.4,4266,69,4,1,0
Supersport Live Events,Gauteng,Male,White,25-34,Thursday,Weekday,Afternoon,8,6,4658,77.63,582.25,1730,42,6,2,0
Supersport Live Events,Western Cape,Male,Coloured,25-34,Thursday,Weekday,Afternoon,4,4,4560,76,1140,1994,256,4,0,0
Supersport Live Events,Gauteng,Male,White,25-34,Thursday,Weekday,Morning,2,1,7750,129.17,3875,7624,126,2,0,0
Supersport Live Events,Gauteng,Male,Black,25-34,Saturday,Weekend,Night,4,4,6826,113.77,1706.5,3058,554,4,0,0
Channel O,Western Cape,Male,Coloured,25-34,Friday,Weekday,Morning,4,4,1440,24,360,795,39,3,1,0
ICC Cricket World Cup 2011,Western Cape,Male,Coloured,35-44,Saturday,Weekend,Prime Time,7,5,3206,53.43,458,908,98,6,1,0
Boomerang,Western Cape,Male,Coloured,25-34,Saturday,Weekend,Prime Time,2,2,759,12.65,379.5,671,88,1,1,0
CNN,Gauteng,Male,White,35-44,Sunday,Weekend,Afternoon,1,1,62,1.03,62,62,62,0,1,0
Channel O,Eastern Cape,Male,Black,25-34,Wednesday,Weekday,Afternoon,2,2,921,15.35,460.5,831,90,1,1,0
Supersport Live Events,Western Cape,Female,Unknown,35-44,Wednesday,Weekday,Prime Time,1,1,78,1.3,78,78,78,0,1,0
Cartoon Network,Mpumalanga,Male,Black,18-24,Saturday,Weekend,Morning,1,1,51,0.85,51,51,51,0,1,0
Boomerang,Gauteng,Male,Black,25-34,Saturday,Weekend,Prime Time,4,4,3689,61.48,922.25,2565,22,2,1,1
Supersport Live Events,Free State,Male,Black,45-54,Wednesday,Weekday,Late Night,1,1,40,0.67,40,40,40,0,1,0
Cartoon Network,Western Cape,Female,Coloured,35-44,Sunday,Weekend,Morning,1,1,34,0.57,34,34,34,0,1,0
E! Entertainment,Unknown,null,Unknown,55+,Saturday,Weekend,Prime Time,1,1,50,0.83,50,50,50,0,1,0
Cartoon Network,Western Cape,Male,White,35-44,Saturday,Weekend,Prime Time,1,1,242,4.03,242,242,242,1,0,0
Channel O,Eastern Cape,Male,Coloured,25-34,Friday,Weekday,Prime Time,1,1,132,2.2,132,132,132,1,0,0
ICC Cricket World Cup 2011,Limpopo,Male,Indian_asian,25-34,Saturday,Weekend,Prime Time,3,3,8632,143.87,2877.33,6806,548,3,0,0
Channel O,Gauteng,Male,Black,25-34,Saturday,Weekend,Prime Time,5,5,9147,152.45,1829.4,8877,27,1,3,1
Africa Magic,Gauteng,Male,Black,25-34,Thursday,Weekday,Afternoon,4,4,755,12.58,188.75,325,5,2,1,1
Trace TV,Gauteng,Male,White,18-24,Saturday,Weekend,Prime Time,1,1,489,8.15,489,489,489,1,0,0
Channel O,KwaZulu-Natal,Male,Black,18-24,Sunday,Weekend,Morning,1,1,96,1.6,96,96,96,0,1,0
ICC Cricket World Cup 2011,Eastern Cape,Male,White,25-34,Wednesday,Weekday,Afternoon,1,1,230,3.83,230,230,230,1,0,0
ICC Cricket World Cup 2011,Gauteng,Male,Indian_asian,25-34,Monday,Weekday,Prime Time,5,4,2080,34.67,416,1194,68,4,1,0
CNN,Gauteng,Female,Unknown,25-34,Monday,Weekday,Prime Time,1,1,17,0.28,17,17,17,0,0,1
Africa Magic,Northern Cape,Male,Coloured,25-34,Friday,Weekday,Late Night,1,1,71,1.18,71,71,71,0,1,0
Trace TV,Western Cape,Male,Black,35-44,Saturday,Weekend,Late Night,1,1,1260,21,1260,1260,1260,1,0,0
ICC Cricket World Cup 2011,Mpumalanga,Male,Indian_asian,25-34,Friday,Weekday,Prime Time,3,3,15202,253.37,5067.33,14606,56,2,1,0
